,class
0,3
1,2
2,3
3,3
4,1
5,3
6,3
7,1
8,2
9,0
10,3
11,3
12,0
13,0
14,2
15,0
16,1
17,2
18,3
19,2
20,1
21,3
22,1
23,1
24,3
25,0
26,2
27,0
28,2
29,0
30,3
31,0
32,2
33,0
34,0
35,1
36,3
37,1
38,2
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,3
48,1
49,2
50,2
51,0
52,2
53,1
54,3
55,1
56,3
57,2
58,1
59,3
60,3
61,2
62,0
63,2
64,1
65,1
66,2
67,2
68,1
69,2
70,1
71,2
72,2
73,3
74,3
75,0
76,2
77,0
78,1
79,3
80,0
81,3
82,3
83,0
84,3
85,0
86,2
87,1
88,2
89,0
90,1
91,1
92,2
93,0
94,1
95,1
96,0
97,1
98,1
99,3
100,0
101,0
102,0
103,2
104,0
105,2
106,1
107,1
108,2
109,3
110,3
111,3
112,1
113,3
114,3
115,3
116,3
117,1
118,3
119,0
120,0
121,2
122,2
123,1
124,1
125,1
126,3
127,1
128,3
129,1
130,0
131,2
132,1
133,1
134,3
135,1
136,1
137,0
138,3
139,2
140,1
141,3
142,1
143,2
144,2
145,3
146,3
147,2
148,2
149,3
150,2
151,3
152,0
153,0
154,3
155,2
156,3
157,3
158,3
159,2
160,2
161,2
162,3
163,2
164,3
165,2
166,0
167,0
168,3
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,2
180,0
181,0
182,1
183,1
184,1
185,2
186,2
187,2
188,0
189,0
190,0
191,0
192,0
193,3
194,1
195,0
196,2
197,2
198,2
199,3
200,1
201,2
202,2
203,2
204,3
205,2
206,2
207,0
208,0
209,0
210,0
211,2
212,1
213,2
214,3
215,3
216,0
217,2
218,0
219,3
220,2
221,2
222,3
223,0
224,0
225,1
226,0
227,3
228,0
229,1
230,0
231,2
232,1
233,1
234,3
235,0
236,3
237,0
238,3
239,1
240,3
241,0
242,0
243,2
244,1
245,3
246,2
247,3
248,1
249,1
250,3
251,0
252,0
253,1
254,3
255,3
256,1
257,3
258,1
259,0
260,3
261,2
262,0
263,2
264,3
265,3
266,3
267,1
268,1
269,0
270,1
271,3
272,1
273,1
274,3
275,2
276,0
277,3
278,1
279,1
280,2
281,0
282,0
283,3
284,2
285,3
286,2
287,2
288,1
289,3
290,3
291,3
292,3
293,2
294,3
295,1
296,2
297,0
298,1
299,3
300,1
301,0
302,0
303,3
304,0
305,3
306,1
307,1
308,1
309,0
310,1
311,2
312,1
313,3
314,2
315,2
316,1
317,2
318,0
319,0
320,0
321,2
322,3
323,2
324,0
325,0
326,0
327,3
328,1
329,0
330,3
331,3
332,1
333,2
334,2
335,2
336,3
337,1
338,3
339,3
340,1
341,1
342,2
343,3
344,3
345,0
346,3
347,1
348,3
349,1
350,3
351,1
352,2
353,3
354,0
355,2
356,0
357,3
358,1
359,3
360,1
361,3
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,2
373,1
374,2
375,0
376,1
377,0
378,0
379,3
380,2
381,1
382,3
383,1
384,2
385,2
386,1
387,2
388,3
389,1
390,1
391,2
392,2
393,1
394,2
395,0
396,1
397,2
398,0
399,3
400,2
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,3
412,2
413,3
414,2
415,3
416,0
417,3
418,0
419,3
420,1
421,1
422,0
423,1
424,2
425,0
426,2
427,2
428,3
429,3
430,1
431,3
432,1
433,3
434,1
435,3
436,2
437,1
438,1
439,2
440,2
441,1
442,0
443,0
444,0
445,1
446,2
447,0
448,0
449,2
450,2
451,0
452,2
453,3
454,0
455,0
456,2
457,0
458,2
459,1
460,3
461,2
462,3
463,0
464,2
465,1
466,2
467,3
468,2
469,2
470,0
471,2
472,0
473,2
474,2
475,1
476,1
477,1
478,0
479,0
480,1
481,2
482,1
483,3
484,3
485,3
486,2
487,2
488,1
489,2
490,2
491,2
492,3
493,3
494,1
495,1
496,2
497,1
498,2
499,2
500,1
501,0
502,2
