Date,Serial,Timestamp,Timezone,AC Voltage R,AC Current R,Grid Frequency,Power Battery Pack 1,Power Battery Pack 2,Total Grid Power,Voltage Battery Pack,Current Battery Pack,SOC Battery Pack,SOC Battery Pack 1,SOC Battery Pack 2,Total Voltage Battery Pack 1,Inverter Power Generation,Total Power Generation,Total Grid Power.1,Load Active Power,DC Power PV1,DC Power PV2,Daily Production (Active),Daily Grid Feed-In,Daily Energy Purchase,Daily Consumption,Cumulative Production,Cumulative Grid Feed-In,Cumulative Energy Purchase,Cumulative Consumption,Daily Charging Energy,Daily Discharging Energy,Total Charging Energy,Total Discharging Energy,Total Battery Power
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 11:45:51,8,237.7,0.02,49.99,230,0,0,,,,64,,404.7,150.45199999999997,100,-190,190,150.45199999999997,0.0,0.65,0.0,0.13,0.22,0.6,0.0,0.1,0.2,0.54,0.0,0.5,0.0,0
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 11:46:19,8,237.7,0.02,49.99,230,0,0,,,,64,,404.7,150.45199999999997,100,-190,190,150.45199999999997,0.0,0.65,0.0,0.13,0.22,0.6,0.0,0.1,0.2,0.54,0.0,0.5,0.0,0
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 11:52:02,8,237.8,1.3,50.03,20,0,0,,,,65,,405.0,261.46599999999995,200,0,240,261.287,0.179,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.2,0.0,0.0,0.5,0.0,0
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 11:57:06,8,239.4,1.38,49.99,1710,0,0,,,,67,,418.4,2092.438,2000,0,260,2092.332,0.106,0.14,0.0,0.0,0.03,0.8,0.0,0.1,0.2,0.1,0.0,0.6,0.0,1600
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:02:09,8,236.8,0.86,50.02,1170,0,0,,,,69,,414.4,1338.648,1300,-120,150,1338.648,0.0,0.31,0.0,0.0,0.05,1.0,0.0,0.1,0.2,0.24,0.0,0.8,0.0,1100
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:07:25,8,237.4,1.04,49.98,1020,0,0,,,,71,,413.3,1273.492,900,0,140,1273.492,0.0,0.41,0.0,0.0,0.06,1.1,0.0,0.1,0.2,0.33,0.0,0.9,0.0,800
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:12:32,8,238.2,1.19,50.03,1120,0,0,,,,72,,414.1,1436.508,600,-10,210,1436.402,0.106,0.51,0.0,0.01,0.08,1.2,0.0,0.1,0.3,0.41,0.0,1.0,0.0,400
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:17:13,8,235.7,1.09,50.0,1300,0,0,,,,73,,415.2,1511.46,1600,-70,210,1511.46,0.0,0.57,0.0,0.01,0.09,1.3,0.0,0.1,0.3,0.46,0.0,1.0,0.0,1200
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:22:26,8,238.0,1.03,50.03,1390,0,0,,,,75,,410.0,1457.966,1400,-10,150,1457.966,0.0,0.67,0.0,0.01,0.11,1.4,0.0,0.1,0.3,0.54,0.0,1.1,0.0,1200
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:27:37,8,239.2,1.31,50.02,1620,0,0,,,,76,,419.4,1948.224,1400,0,240,1948.224,0.0,0.8,0.0,0.02,0.13,1.5,0.0,0.1,0.3,0.65,0.0,1.2,0.0,1100
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:32:47,8,239.1,1.04,49.97,1460,0,0,,,,78,,417.1,1717.398,1000,0,150,1717.398,0.0,0.91,0.0,0.02,0.15,1.6,0.0,0.1,0.3,0.74,0.0,1.3,0.0,800
2025-09-29,ZH1025006KE24A1700R7,2025-09-29 12:37:58,8,239.3,1.21,49.97,550,0,0,,,,79,,410.4,780.03,1300,0,210,780.03,0.0,1.0,0.0,0.02,0.16,1.7,0.0,0.1,0.3,0.81,0.0,1.4,0.0,1400
